GroupName,GroupCat,GroupCode,Sex,SexCode,InvSexCode,IndivCode,IndivID,Vision,VisionCode,InvVisionCode,DateIndex,BirthWeek,DayNum,WeekNum,Season,SeasonCode,MinTemp,MaxTemp,Rainfallmm,EnergyStress,InfDepend,InfDepCode,InvInfDepCode,TimeTravelh,TimeTravelday,YORTotal,CrypTotal,LuminTotal,DimTotal,BrightTotal,UnkLightTotal,PatchTotal
S,0,4,Male,0,1,10,SM,Di,0,1,6-Apr-06,50,96,15,Wet,1,23,27,0.508,FALSE,FALSE,0,1,0.5925,0.0494,0,1,0,1,0,0,1
S,0,4,Female,1,0,4,SF,Di,0,1,12-Apr-06,51,102,15,Wet,1,21,23,0.508,FALSE,FALSE,0,1,0.3875,0.0323,0,0,0,0,0,0,0
S,0,4,Male,0,1,10,SM,Di,0,1,12-Apr-06,51,102,15,Wet,1,21,23,0.508,FALSE,FALSE,0,1,0.410277778,0.0342,0,0,0,0,0,0,0
S,0,4,Female,1,0,4,SF,Di,0,1,20-Apr-06,52,110,17,Wet,1,21,25,0,FALSE,FALSE,0,1,1.430555556,0.1192,0,0,0,0,0,0,0
S,0,4,Male,0,1,10,SM,Di,0,1,20-Apr-06,52,110,17,Wet,1,21,25,0,FALSE,FALSE,0,1,1.418888889,0.1182,0,0,0,0,0,0,0
S,0,4,Female,1,0,4,SF,Di,0,1,8-May-06,55,128,19,Dry,0,20,21,0,FALSE,FALSE,0,1,0.444722222,0.0371,0,0,0,0,0,0,0
S,0,4,Male,0,1,10,SM,Di,0,1,8-May-06,55,128,19,Dry,0,20,21,0,FALSE,FALSE,0,1,0.530833333,0.0442,0,1,0,1,0,0,1
S,0,4,Female,1,0,4,SF,Di,0,1,10-May-06,55,130,19,Dry,0,18,21,0,FALSE,FALSE,0,1,0.4125,0.0344,0,0,0,0,0,1,1
S,0,4,Male,0,1,10,SM,Di,0,1,10-May-06,55,130,19,Dry,0,18,21,0,FALSE,FALSE,0,1,0.449166667,0.0374,0,0,0,0,0,0,0
S,0,4,Female,1,0,4,SF,Di,0,1,19-May-06,56,139,21,Dry,0,21,26,0,FALSE,FALSE,0,1,1.779722222,0.1483,2,0,1,1,1,1,3
S,0,4,Male,0,1,10,SM,Di,0,1,19-May-06,56,139,21,Dry,0,21,26,0,FALSE,FALSE,0,1,1.6525,0.1377,0,0,1,1,0,0,1
